bigram,attack,normal,z
exit_group → rt_sigreturn,0,27427,-7.588259766294595
read → getpid,1,881,-7.579480127538152
close → brk,198,453,-7.565896973868115
munmap → rt_sigprocmask,0,26519,-7.564419694305459
rt_sigprocmask → getpid,0,26142,-7.554280903687788
tgkill → rt_sigprocmask,0,25903,-7.547777481150575
getpid → gettid,0,25894,-7.5475314130356095
gettid → tgkill,0,25891,-7.547449371348201
writev → mmap,0,25852,-7.54638196457639
futex → mmap,0,25505,-7.536813345709472
mmap → futex,0,25357,-7.532692587301329
kill → close,0,24774,-7.5162230365901905
clone → futex,0,23232,-7.470722555893184
futex → set_robust_list,0,22890,-7.4602226779382255
exit → clone,0,21178,-7.4051880585443755
exit → exit,0,19428,-7.34413345521791
poll → sendto,0,17346,-7.263897831662204
readlink → readlink,0,17271,-7.260830829104154
exit_group → munmap,0,16271,-7.218615447164258
madvise → brk,0,15930,-7.203624840983788
brk → mprotect,0,15494,-7.1839838542848895
set_robust_list → madvise,0,14995,-7.16081537346994
set_robust_list → set_robust_list,0,14414,-7.132848527137603
set_robust_list → clone,0,14195,-7.122013412619007
clone → exit,0,13463,-7.084544905380727
sendto → poll,0,13046,-7.062278884253636
mprotect → brk,0,13023,-7.061030168306979
futex → getpid,0,12570,-7.035976108359907
madvise → clone,0,12561,-7.035469252623647
connect → poll,0,12214,-7.015645191545916
futex → exit,0,11564,-6.9769474313535635
newfstatat → fcntl,0,11478,-6.971665247333394
clone → madvise,0,11463,-6.9707398860194685
set_robust_list → exit,0,11236,-6.956586384521644
rt_sigreturn → clone,0,11064,-6.945670496074844
fcntl → getdents64,0,10999,-6.94150108281923
poll → close,0,10769,-6.9265474095640664
brk → madvise,0,10532,-6.910800881266338
write → rt_sigreturn,0,10444,-6.904863725728471
write → lseek,2,241,-6.902825817689021
pidfd_send_signal → poll,0,9979,-6.872636726703723
alarm → pidfd_send_signal,0,9824,-6.861559882096523
exit → futex,0,9576,-6.843468283159604
mmap → mprotect,0,9558,-6.842137006965706
exit → mmap,0,9441,-6.833422137600627
poll → recvfrom,0,9340,-6.825811772860887
close → chroot,2,229,-6.820826906382442
close → getppid,0,9249,-6.818884121567423
rt_sigaction → clock_nanosleep,0,9247,-6.818731101399645
clock_nanosleep → alarm,0,9246,-6.818654578908168
getppid → openat,0,9160,-6.81204250012656
close → fcntl,20,124,-6.803176762169994
access → access,801,1304,-6.791088232903303
getpid → kill,0,8766,-6.780934285591861
munmap → exit_group,0,8271,-6.739807916375436
read → futex,0,8127,-6.727380966420199
futex → read,0,7951,-6.71189002913336
kill → clock_nanosleep,0,7910,-6.7082321227133965
rt_sigprocmask → mmap,0,7813,-6.699502021057357
recvmsg → recvmsg,0,7700,-6.689194208456757
wait4 → munmap,0,7641,-6.683751994291262
madvise → mmap,0,7130,-6.634779053815367
madvise → set_robust_list,0,7048,-6.6265949270005065
set_robust_list → rt_sigaction,0,6747,-6.595714704715085
exit → set_robust_list,0,6544,-6.574100638502741
exit → madvise,0,6452,-6.5640833906566645
clone → pidfd_open,0,6364,-6.554367126891484
statx → statx,0,6149,-6.530051756922622
pidfd_open → set_robust_list,0,6124,-6.5271693842594845
mmap → exit,0,6034,-6.516694525699625
recvfrom → recvmsg,1,368,-6.504466150535173
mprotect → mmap,0,5780,-6.486267291883954
set_robust_list → exit_group,0,5722,-6.479131926094454
wait4 → set_robust_list,0,5719,-6.4787608909422785
munmap → openat,4,119,-6.449258498414682
