bigram,attack,normal,z
getegid → prctl,0,60,-3.2488200107129384
sched_setaffinity → sched_setaffinity,0,60,-3.2488200107129384
alarm → set_robust_list,0,60,-3.2488200107129384
rt_sigprocmask → close,0,60,-3.2488200107129384
sched_setaffinity → write,0,60,-3.2488200107129384
getgid → getegid,0,60,-3.2488200107129384
execve → execve,0,60,-3.2488200107129384
geteuid → getgid,0,60,-3.2488200107129384
brk → kill,0,59,-3.236860042063418
munmap → getpid,0,59,-3.236860042063418
epoll_create → epoll_ctl,0,59,-3.236860042063418
exit_group → set_robust_list,0,58,-3.2246952303802674
close → sysinfo,0,58,-3.2246952303802674
getsockname → poll,0,58,-3.2246952303802674
brk → sysinfo,0,57,-3.212318453183828
brk → prlimit64,0,57,-3.212318453183828
exit → rseq,0,57,-3.212318453183828
read → rt_sigreturn,0,57,-3.212318453183828
stat → close,0,56,-3.1997222105492846
read → pread64,2994,3883,-3.1929967800796746
pread64 → newfstatat,2994,3883,-3.1929967800796746
dup2 → stat,0,55,-3.186898597990884
stat → write,0,55,-3.186898597990884
rt_sigprocmask → newfstatat,0,54,-3.173839276869113
execve → close,0,54,-3.173839276869113
vfork → close,0,54,-3.173839276869113
access → pipe2,0,54,-3.173839276869113
pipe2 → vfork,0,54,-3.173839276869113
mmap → newfstatat,0,53,-3.160535442044446
set_robust_list → clock_nanosleep,0,53,-3.160535442044446
epoll_create → epoll_create,0,52,-3.1469777864647135
newfstatat → futex,0,52,-3.1469777864647135
poll → getsockname,0,52,-3.1469777864647135
chroot → mmap,0,51,-3.1331564623308155
wait4 → rt_sigaction,0,51,-3.1331564623308155
read → sched_setaffinity,0,51,-3.1331564623308155
sendto → getsockname,0,50,-3.119061038436594
openat → getpid,90,157,-2.8183646596873086
setsockopt → sendto,281,401,-2.2223187307456116
sendto → bind,18,40,-2.1424658915694756
getpid → openat,88,141,-2.117548848697845
bind → sendto,19,40,-1.9902087268008597
newfstatat → setsockopt,453,615,-1.9895190057169603
getpid → getpid,28,53,-1.9294945961431196
rt_sigaction → openat,40,70,-1.886653019254215
wait4 → getpid,39,57,-0.9346968500479874
socket → newfstatat,482,606,-0.7606782968894713
socket → sendmmsg,33,47,-0.739582521017969
unlink → exit_group,101,129,-0.4624108143168879
getpid → clock_nanosleep,30,39,-0.3163393804536693
sendto → connect,301,359,0.08166807348004036
read → writev,3152,3768,0.15914394285424702
write → setns,27,31,0.1782532111656351
wait4 → fcntl,101,105,1.0333352463228829
close → rt_sigaction,65,65,1.0433873226174508
getpid → socket,44,40,1.2732338996992854
brk → recvfrom,35,27,1.7228845433277042
close → getsockname,52,41,2.009724152724485
newfstatat → write,1655,1854,2.035241790742849
getpid → mkdir,39,27,2.1921759661288474
newfstatat → socket,849,882,3.000432702366002
openat → lseek,114,88,3.107969867130158
prlimit64 → wait4,147,118,3.252508502321879
clone → prlimit64,77,51,3.2874694508777207
listen → setpgid,50,0,3.375636156074409
wait4 → open,50,0,3.375636156074409
pivot_root → write,52,0,3.4036008449796773
rmdir → recvfrom,52,0,3.4036008449796773
capset → write,52,0,3.4036008449796773
clock_nanosleep → ftruncate,52,0,3.4036008449796773
accept4 → wait4,52,0,3.4036008449796773
bind → setsockopt,58,33,3.4144723644912194
mmap → mkdir,53,0,3.4171811365940137
sendmsg → chdir,53,0,3.4171811365940137
prctl → io_uring_setup,53,0,3.4171811365940137
symlink → prctl,54,0,3.430506782697789
accept4 → clock_nanosleep,54,0,3.430506782697789
close → accept4,54,0,3.430506782697789
bind → sendmsg,54,0,3.430506782697789
exit_group → mount,54,0,3.430506782697789
chmod → close,54,0,3.430506782697789
io_uring_setup → write,55,0,3.4435871346262648
ioctl → getsockopt,55,0,3.4435871346262648
write → capset,55,0,3.4435871346262648
mount → setsid,55,0,3.4435871346262648
read → perf_event_open,55,0,3.4435871346262648
write → perf_event_open,55,0,3.4435871346262648
symlink → recvfrom,55,0,3.4435871346262648
symlink → sendto,56,0,3.456431038687561
prctl → creat,56,0,3.456431038687561
sendto → unlink,56,0,3.456431038687561
ioctl → symlink,56,0,3.456431038687561
symlink → setpgid,57,0,3.4690468718443754
setns → recvfrom,57,0,3.4690468718443754
unshare → mkdir,57,0,3.4690468718443754
recvfrom → setns,58,0,3.4814425743018833
chmod → prctl,58,0,3.4814425743018833
capset → openat,59,0,3.493625679318001
pivot_root → chdir,60,0,3.505603340515177
wait4 → accept4,61,0,3.517382356940652
write → capget,61,0,3.517382356940652
openat → readv,61,0,3.517382356940652
listen → openat,61,0,3.517382356940652
chdir → getsockopt,61,0,3.517382356940652
getsockopt → setns,61,0,3.517382356940652
connect → getsockopt,61,0,3.517382356940652
setsid → wait4,62,0,3.5289691960941734
openat → capget,63,0,3.540370015117698
capget → openat,63,0,3.540370015117698
setsid → setpgid,63,0,3.540370015117698
writev → recvfrom,64,0,3.5515906803202433
clock_nanosleep → open,64,0,3.5515906803202433
readv → wait4,65,0,3.56263678519232
setsid → unshare,65,0,3.56263678519232
perf_event_open → write,66,0,3.5735136670479375
exit_group → pivot_root,66,0,3.5735136670479375
add_key → write,67,0,3.584226422417695
umount2 → brk,67,0,3.584226422417695
fsetxattr → wait4,67,0,3.584226422417695
capset → close,67,0,3.584226422417695
rt_sigaction → mkdir,67,0,3.584226422417695
capget → close,68,0,3.594779921303674
socket → epoll_wait,68,0,3.594779921303674
connect → rmdir,69,0,3.6051788203956225
sendmsg → ioctl,69,0,3.6051788203956225
ioctl → access,69,0,3.6051788203956225
unlink → bind,70,0,3.6154275753378715
sendmmsg → unshare,70,0,3.6154275753378715
recvfrom → getdents64,70,0,3.6154275753378715
setpgid → creat,70,0,3.6154275753378715
capget → write,70,0,3.6154275753378715
listen → write,71,0,3.625530452127602
fsetxattr → clock_nanosleep,71,0,3.625530452127602
exit_group → listen,71,0,3.625530452127602
mkdir → unshare,71,0,3.625530452127602
writev → bind,72,0,3.6354915377172086
getsockopt → bind,72,0,3.6354915377172086
sendto → getdents64,72,0,3.6354915377172086
unlink → recvfrom,72,0,3.6354915377172086
openat → perf_event_open,72,0,3.6354915377172086
write → creat,72,0,3.6354915377172086
bpf → chdir,73,0,3.645314749886477
chdir → chmod,73,0,3.645314749886477
getsockopt → writev,73,0,3.645314749886477
sendmsg → umount2,73,0,3.645314749886477
socketpair → getsockopt,73,0,3.645314749886477
wait4 → fsetxattr,73,0,3.645314749886477
bpf → setpgid,73,0,3.645314749886477
wait4 → accept,74,0,3.655003846444084
socketpair → clock_nanosleep,75,0,3.6645624338123195
creat → write,76,0,3.673993975043956
getsockopt → connect,77,0,3.6833017973157403
prctl → setsid,77,0,3.6833017973157403
clock_nanosleep → pwritev,77,0,3.6833017973157403
brk → clock_nanosleep,79,0,3.701558955923814
open → openat,79,0,3.701558955923814
fanotify_init → close,79,0,3.701558955923814
clock_nanosleep → accept4,80,0,3.710514328131615
close → capset,80,0,3.710514328131615
unshare → getsockopt,81,0,3.719358065044817
close → capget,82,0,3.728092911183646
unshare → setsid,82,0,3.728092911183646
umount2 → bind,83,0,3.7367215111945895
recvfrom → getsockopt,84,0,3.7452464146344315
sendmsg → listen,84,0,3.7452464146344315
listen → prctl,85,0,3.7536700804714083
setpgid → unshare,85,0,3.7536700804714083
chmod → unshare,86,0,3.7619948813233073
symlink → bind,86,0,3.7619948813233073
clock_nanosleep → accept,87,0,3.770223107450728
ioctl → socketpair,87,0,3.770223107450728
access → ioctl,87,0,3.770223107450728
sendmsg → rmdir,88,0,3.778356970522301
unshare → setpgid,88,0,3.778356970522301
unlink → sendto,89,0,3.7863986071672717
setsockopt → rmdir,89,0,3.7863986071672717
setsid → setsid,91,0,3.8022133924375767
symlink → chdir,91,0,3.8022133924375767
recvfrom → chdir,92,0,3.8099904683984365
clock_nanosleep → socketpair,92,0,3.8099904683984365
dup → setpgid,92,0,3.8099904683984365
recvfrom → umount2,92,0,3.8099904683984365
keyctl → add_key,93,0,3.817683178433636
mount → setpgid,93,0,3.817683178433636
pwritev → clock_nanosleep,93,0,3.817683178433636
connect → symlink,93,0,3.817683178433636
pivot_root → clone,94,0,3.825293330760711
clock_nanosleep → fsetxattr,95,0,3.832822676134022
memfd_create → clock_nanosleep,95,0,3.832822676134022
fanotify_mark → close,96,0,3.840272910252378
sendmsg → newfstatat,97,0,3.8476456760419455
mount → ioctl,97,0,3.8476456760419455
bpf → prctl,97,0,3.8476456760419455
getdents64 → recvfrom,97,0,3.8476456760419455
sendmsg → mkdir,98,0,3.8549425658221064
socket → setns,99,0,3.862165123361396
sendto → mkdir,99,0,3.862165123361396
openat → io_uring_setup,99,0,3.862165123361396
sendto → umount2,99,0,3.862165123361396
dup → write,100,0,3.8693148458301283
setsockopt → symlink,101,0,3.8763931856559033
fcntl → writev,101,0,3.8763931856559033
openat → creat,102,0,3.8834015522877015
clone → listen,102,0,3.8834015522877015
getsockopt → recvfrom,103,0,3.890341313873935
prctl → unlink,103,0,3.890341313873935
clock_nanosleep → fcntl,104,0,3.897213798859438
getdents64 → sendto,104,0,3.897213798859438
sendto → unshare,104,0,3.897213798859438
sendto → chdir,107,0,3.917440314537866
mount → unshare,107,0,3.917440314537866
recvfrom → mkdir,107,0,3.917440314537866
writev → keyctl,109,0,3.930610976777147
sendto → getsockopt,109,0,3.930610976777147
recvfrom → unshare,109,0,3.930610976777147
setpgid → unlink,109,0,3.930610976777147
arch_prctl → access,2994,3252,3.936376977299451
symlink → getsockopt,110,0,3.937105658942877
setsockopt → mkdir,110,0,3.937105658942877
bind → setpgid,110,0,3.937105658942877
unshare → prctl,110,0,3.937105658942877
ioctl → mq_open,111,0,3.9435413710591876
perf_event_open → getsockopt,111,0,3.9435413710591876
mq_timedsend → openat,112,0,3.9499191731090053
connect → mkdir,112,0,3.9499191731090053
prctl → read,114,0,3.9625051464247028
accept4 → close,114,0,3.9625051464247028
mount → prlimit64,115,0,3.968715300091143
getsockopt → rmdir,115,0,3.968715300091143
setsid → openat,116,0,3.974871510359992
umount2 → sendto,116,0,3.974871510359992
perf_event_open → writev,116,0,3.974871510359992
mkdir → perf_event_open,116,0,3.974871510359992
recvfrom → symlink,116,0,3.974871510359992
sendto → symlink,117,0,3.980974705256624
bpf → write,118,0,3.9870257890803247
dup → prctl,119,0,3.99302564320579
setns → clock_nanosleep,120,0,3.9989751268510734
getsockopt → sendto,120,0,3.9989751268510734
close → creat,120,0,3.9989751268510734
bind → write,121,0,4.004875077813668
write → io_uring_setup,123,0,4.01652962998376
socket → unshare,123,0,4.01652962998376
umount2 → recvfrom,125,0,4.027995599794798
rmdir → getsockopt,126,0,4.033659752415524
close → accept,126,0,4.033659752415524
openat → chmod,129,0,4.050385509266678
wait4 → socketpair,63,31,4.05346180008573
socket → listen,130,0,4.055874160347243
setns → wait4,131,0,4.061320620634413
exit_group → bind,131,0,4.061320620634413
exit_group → dup,133,0,4.072089526438157
unshare → sendto,133,0,4.072089526438157
clone → pivot_root,133,0,4.072089526438157
mkdir → getsockopt,133,0,4.072089526438157
setpgid → read,133,0,4.072089526438157
clone → chmod,136,0,4.087942065584169
chmod → mount,137,0,4.093148389758845
chmod → clone,137,0,4.093148389758845
exit_group → symlink,138,0,4.098316733032102
clone → dup,139,0,4.103447645025796
io_uring_setup → io_uring_setup,141,0,4.113599314813382
prctl → mmap,141,0,4.113599314813382
mount → bpf,142,0,4.118621114002506
sendfile → clock_nanosleep,143,0,4.123607565341928
pread64 → mmap,2994,3236,4.1262417838625325
wait4 → sendfile,144,0,4.128559162524162
prlimit64 → mount,144,0,4.128559162524162
mkdir → recvfrom,145,0,4.133476388976851
pivot_root → mkdir,145,0,4.133476388976851
pivot_root → exit_group,146,0,4.138359718145236
getsockopt → mkdir,147,0,4.143209613764997
ftruncate → exit_group,148,0,4.148026530125831
mmap → arch_prctl,2994,3234,4.150007872734815
newfstatat → bind,86,49,4.154932962778785
getsockopt → unlink,151,0,4.16228381015144
unlink → getsockopt,151,0,4.16228381015144
clock_nanosleep → creat,151,0,4.16228381015144
umount2 → sendmsg,151,0,4.16228381015144
unshare → clock_nanosleep,152,0,4.166973172191813
mkdir → sendto,152,0,4.166973172191813
creat → ftruncate,153,0,4.171631693355238
rmdir → sendmsg,153,0,4.171631693355238
mkdir → sendmsg,153,0,4.171631693355238
listen → clone,154,0,4.176259776317463
clock_nanosleep → sendfile,156,0,4.185426199389356
arch_prctl → mprotect,2994,3230,4.19756207253386
mkdir → setsockopt,159,0,4.198957174725144
connect → getdents64,159,0,4.198957174725144
access → write,161,0,4.207836317221661
newfstatat → sendmsg,161,0,4.207836317221661
getsockopt → chdir,163,0,4.216605523153468
setpgid → listen,165,0,4.225267479487577
recvfrom → setpgid,167,0,4.233824775922052
openat → access,167,0,4.233824775922052
exit_group → bpf,168,0,4.2380649605074465
ioctl → creat,169,0,4.242279909523139
mount → rmdir,170,0,4.2464699213446275
sendfile → wait4,170,0,4.2464699213446275
socket → dup3,171,0,4.250635289089415
wait4 → creat,171,0,4.250635289089415
chmod → chmod,172,0,4.254776300739776
dup3 → ioctl,172,0,4.254776300739776
creat → clock_nanosleep,175,0,4.267056004398245
rmdir → setsockopt,175,0,4.267056004398245
sendmsg → getdents64,175,0,4.267056004398245
prctl → listen,175,0,4.267056004398245
pivot_root → bpf,176,0,4.271102372890259
dup → clone,177,0,4.275125752225418
getsockopt → symlink,178,0,4.279126401961811
unshare → recvfrom,178,0,4.279126401961811
symlink → rmdir,181,0,4.290994504206967
ioctl → dup,184,0,4.3026669756270985
perf_event_open → socket,184,0,4.3026669756270985
symlink → clone,185,0,4.306515430753782
fchdir → socket,187,0,4.314150156860961
chdir → sendmsg,187,0,4.314150156860961
clock_nanosleep → setns,187,0,4.314150156860961
io_uring_setup → exit_group,188,0,4.317936871319894
prctl → recvfrom,188,0,4.317936871319894
open → fchdir,188,0,4.317936871319894
setsockopt → unlink,189,0,4.321703443140907
write → pivot_root,189,0,4.321703443140907
perf_event_open → perf_event_open,189,0,4.321703443140907
prctl → prlimit64,190,0,4.325450085334696
bind → prctl,191,0,4.32917700755236
close → open,193,0,4.336572514285439
mmap → mount,193,0,4.336572514285439
setsockopt → getdents64,194,0,4.340241501928301
prctl → dup,194,0,4.340241501928301
chdir → unshare,195,0,4.343891575981534
memfd_create → ftruncate,195,0,4.343891575981534
setpgid → recvfrom,197,0,4.351135755839838
sendto → setpgid,199,0,4.358306569617394
mkdir → connect,203,0,4.372433936053228
symlink → exit_group,203,0,4.372433936053228
prctl → chdir,204,0,4.37592216853469
pivot_root → rmdir,204,0,4.37592216853469
rmdir → connect,206,0,4.382847496156693
accept → close,209,0,4.393110109521524
ioctl → chdir,210,0,4.396498187369699
setns → socket,213,0,4.4065662125894285
clock_nanosleep → memfd_create,215,0,4.41319955784576
listen → listen,215,0,4.41319955784576
chmod → mkdir,217,0,4.419771328757438
socket → chdir,218,0,4.423034478794567
dup → openat,218,0,4.423034478794567
listen → exit_group,219,0,4.426282657290759
mount → chmod,219,0,4.426282657290759
write → listen,219,0,4.426282657290759
perf_event_open → close,219,0,4.426282657290759
setpgid → dup,220,0,4.429516000919943
io_uring_setup → close,220,0,4.429516000919943
capset → unshare,222,0,4.4359387209952414
creat → creat,49,1,4.438877066926029
socket → symlink,225,0,4.445464851152835
listen → sendmsg,227,0,4.451745127906666
bpf → clone,228,0,4.45486449627129
creat → wait4,229,0,4.457970179917902
getdents64 → getsockopt,230,0,4.461062298325997
getsockopt → getdents64,234,0,4.473297455217701
prctl → pivot_root,234,0,4.473297455217701
pivot_root → openat,238,0,4.485324732802733
openat → listen,239,0,4.488299892308513
bpf → sendmsg,241,0,4.494212959548208
read → ioctl,41,10,4.506150856089932
pread64 → clock_nanosleep,52,1,4.513668798960489
setpgid → chdir,249,0,4.517383337093677
prlimit64 → setsid,249,0,4.517383337093677
chdir → pivot_root,253,0,4.528690184188968
recvfrom → write,254,0,4.531488899398283
getsockopt → newfstatat,257,0,4.5398192569949725
clock_nanosleep → listen,259,0,4.545318857138266
sendmsg → write,261,0,4.550776056622162
setpgid → pivot_root,263,0,4.556191503935261
mount → pivot_root,264,0,4.558883769132365
prctl → bind,268,0,4.569551580194543
setsockopt → umount2,268,0,4.569551580194543
chmod → chdir,270,0,4.5748257926318505
socket → rmdir,271,0,4.5774482338844384
umount2 → getsockopt,275,0,4.5878419025129915
socket → unlink,275,0,4.5878419025129915
recvfrom → exit_group,276,0,4.59041664562522
newfstatat → getsockopt,279,0,4.598085150159485
exit_group → sendto,282,0,4.605671459701743
clone → sendto,286,0,4.615661684145209
close → chmod,45,12,4.616733252669149
pivot_root → newfstatat,288,0,4.6206044093201335
dup → exit_group,288,0,4.6206044093201335
chdir → mount,290,0,4.625512855786707
listen → close,291,0,4.627954372380389
ftruncate → wait4,57,1,4.629122132729703
getsockopt → umount2,292,0,4.630387495528389
chdir → setsockopt,295,0,4.63763707624192
brk → arch_prctl,2994,3193,4.638834084055926
symlink → getdents64,298,0,4.644813150627151
setpgid → mount,298,0,4.644813150627151
setpgid → memfd_create,299,0,4.647189096914
prctl → mount,299,0,4.647189096914
recvfrom → sendmsg,300,0,4.649557093620297
prctl → unshare,58,1,4.65097961093282
setpgid → getsockopt,304,0,4.658950636701759
write → chdir,304,0,4.658950636701759
chdir → connect,305,0,4.661279670003959
write → writev,43,10,4.6641025837372005
read → prctl,59,1,4.672459152843755
write → getsockopt,310,0,4.67281123714613
dup → getsockname,311,0,4.675095173469921
unlink → connect,313,0,4.679641052259653
rmdir → ioctl,313,0,4.679641052259653
rmdir → pivot_root,313,0,4.679641052259653
connect → umount2,313,0,4.679641052259653
prctl → getsockopt,314,0,4.681903088469245
clock_nanosleep → unshare,315,0,4.684157917638
clone → unshare,315,0,4.684157917638
write → recvfrom,317,0,4.68864613746154
perf_event_open → clock_nanosleep,317,0,4.68864613746154
socket → mkdir,318,0,4.690879618340242
sendto → write,319,0,4.693106072636804
rmdir → mount,321,0,4.697538077294226
pivot_root → umount2,322,0,4.69974371453325
getdents64 → sendmsg,323,0,4.7019424989566785
setpgid → bind,324,0,4.704134472999233
getdents64 → setsockopt,324,0,4.704134472999233
dup → ioctl,325,0,4.706319678702814
perf_event_open → wait4,325,0,4.706319678702814
unlink → prctl,327,0,4.710669951325383
getsockopt → exit_group,332,0,4.721430056360044
ioctl → mmap,334,0,4.725688703337166
rmdir → symlink,340,0,4.738313004256426
bpf → rmdir,341,0,4.740395331589859
getdents64 → connect,341,0,4.740395331589859
listen → clock_nanosleep,341,0,4.740395331589859
unlink → setpgid,341,0,4.740395331589859
kexec_load → exit_group,344,0,4.746605800285659
clone → bpf,344,0,4.746605800285659
sendmmsg → connect,104,57,4.748727745761507
sendto → prctl,348,0,4.754802541229668
clone → unlink,349,0,4.756836977218704
umount2 → ioctl,349,0,4.756836977218704
openat → getsockopt,351,0,4.760888386454015
close → kexec_load,352,0,4.762905426074701
sendmsg → setpgid,357,0,4.77290527646576
getsockname → clock_nanosleep,362,0,4.7827657840900555
wait4 → perf_event_open,363,0,4.784721504207989
write → bind,368,0,4.794419840638956
openat → bind,369,0,4.79634365906228
capset → socket,371,0,4.800175675894149
ioctl → rmdir,373,0,4.803987052896105
mkdir → ioctl,375,0,4.807778011144769
exit_group → unlink,376,0,4.809665901355156
close → listen,377,0,4.81154876818452
sendmsg → openat,378,0,4.8134266382862725
wait4 → getsockname,381,0,4.819030531600525
connect → sendmsg,383,0,4.822741956067992
clone → symlink,384,0,4.824590393835177
rmdir → socket,386,0,4.828272846531664
accept → wait4,67,1,4.832097874489572
dup → socket,394,0,4.842813959469593
clock_nanosleep → getsockname,405,0,4.862332264376209
pivot_root → getdents64,405,0,4.862332264376209
wait4 → listen,407,0,4.865823919868694
mount → getdents64,409,0,4.869298430002679
exit_group → chdir,410,0,4.871029308002924
setpgid → sendto,410,0,4.871029308002924
symlink → unlink,412,0,4.874478413414383
getsockname → wait4,414,0,4.87791078767642
ioctl → umount2,420,0,4.888109126895767
mmap → exit_group,46,10,4.888824513998651
memfd_create → write,424,0,4.894827263458067
clock_nanosleep → perf_event_open,425,0,4.896496878076396
mkdir → chmod,434,0,4.911348727950339
prctl → rmdir,435,0,4.912979853462027
socket → dup2,438,0,4.917850789365877
newfstatat → pivot_root,441,0,4.922688422092459
sendfile → openat,441,0,4.922688422092459
connect → setpgid,442,0,4.924293644049983
getsockopt → openat,448,0,4.933849242392982
dup2 → sendto,449,0,4.9354293704641
getsockopt → setpgid,454,0,4.943277508004064
getsockname → getsockname,48,11,4.943926984628421
setsockopt → setpgid,457,0,4.947944942490945
socket → getdents64,458,0,4.949493936831306
close → io_uring_setup,460,0,4.952581788994866
ioctl → mkdir,461,0,4.954120676217037
ioctl → sendfile,461,0,4.954120676217037
bpf → openat,464,0,4.958717356836505
setpgid → rmdir,465,0,4.960242971254151
access → openat,3134,3324,4.9603379230702584
unlink → socket,466,0,4.961765303158936
umount2 → setsockopt,475,0,4.9753208727992275
bpf → pivot_root,476,0,4.976811139921958
sendto → clone,476,0,4.976811139921958
pwritev → ioctl,476,0,4.976811139921958
listen → wait4,478,0,4.9797822902227775
sendmsg → prctl,480,0,4.982741015765181
getsockopt → clone,482,0,4.985687420007635
mkdir → pivot_root,488,0,4.994453720347556
bpf → mount,492,0,5.0002381538804155
symlink → setsockopt,502,0,5.01449565846617
clock_nanosleep → sendmmsg,505,0,5.018717479838419
chdir → clone,505,0,5.018717479838419
bpf → newfstatat,505,0,5.018717479838419
mkdir → bpf,506,0,5.020119173828565
umount2 → connect,511,0,5.02708628887445
chdir → ioctl,514,0,5.0312338619144805
chdir → bpf,515,0,5.032611000641156
clock_nanosleep → dup,517,0,5.035357262355811
sendmsg → getsockopt,518,0,5.036726406028564
exit_group → sendmsg,519,0,5.0380929052682575
openat → pivot_root,521,0,5.0408180111628065
openat → symlink,521,0,5.0408180111628065
openat → fsetxattr,522,0,5.042176638028251
memfd_create → pwritev,523,0,5.043532660882711
socket → umount2,524,0,5.044886089686915
setsockopt → write,537,0,5.062249035763237
prctl → bpf,548,0,5.076615096760297
read → exit_group,270,202,5.0778377197606055
getdents64 → pivot_root,551,0,5.080483009459887
fsetxattr → close,552,0,5.081767628702678
prctl → symlink,553,0,5.083049919604115
clone → getsockopt,563,0,5.095746600620853
symlink → umount2,567,0,5.100762151751513
getpid → capget,575,0,5.110687826438461
sendmsg → getsockname,575,0,5.110687826438461
openat → memfd_create,579,0,5.115598926765429
capget → capset,580,0,5.116821393419177
getdents64 → ioctl,582,0,5.119260007837967
bind → exit_group,583,0,5.120476170087708
chdir → symlink,585,0,5.122902240600413
symlink → connect,587,0,5.125320019944542
getsockopt → sendmsg,593,0,5.132524172772773
connect → write,596,0,5.136098924418168
mount → prctl,600,0,5.140837334297184
getdents64 → mount,601,0,5.142016994433267
rmdir → bpf,601,0,5.142016994433267
getsockopt → prctl,612,0,5.154865067185163
chdir → umount2,615,0,5.158328966554594
setpgid → bpf,616,0,5.159479840948426
mkdir → exit_group,622,0,5.16634604544263
clock_nanosleep → io_uring_setup,630,0,5.175398535668158
dup → clock_nanosleep,634,0,5.179881709732036
umount2 → pivot_root,634,0,5.179881709732036
mount → exit_group,636,0,5.182112687651604
write → sendto,637,0,5.183225543813235
exit_group → connect,639,0,5.185446018073985
wait4 → sendmmsg,640,0,5.186553647109027
clone → sendmsg,641,0,5.18765954466173
perf_event_open → sendto,643,0,5.189866166911272
openat → mount,643,0,5.189866166911272
sendmmsg → clock_nanosleep,644,0,5.190966902340701
write → bpf,645,0,5.192065927753284
setsockopt → prctl,645,0,5.192065927753284
prctl → umount2,653,0,5.200797201793506
bpf → umount2,654,0,5.2018810728103855
wait4 → io_uring_setup,663,0,5.211561901828197
getdents64 → unlink,664,0,5.212629417318138
exit_group → getsockopt,665,0,5.213695324358751
wait4 → memfd_create,92,1,5.22916050767167
bpf → getdents64,685,0,5.23468298668462
exit_group → setsockopt,689,0,5.238806822247921
clock_nanosleep → brk,93,1,5.242671907296964
ioctl → unshare,93,1,5.242671907296964
socketpair → dup,698,0,5.247998486934006
symlink → socket,711,0,5.261067979343745
getdents64 → symlink,714,0,5.264050032355813
prctl → mkdir,714,0,5.264050032355813
io_uring_setup → clock_nanosleep,723,0,5.272921501948244
setpgid → newfstatat,727,0,5.276828945916885
socket → socketpair,727,0,5.276828945916885
creat → close,50,4,5.2854354518778015
bpf → mkdir,749,0,5.297942409862808
connect → prctl,750,0,5.298887301199168
openat → unshare,750,0,5.298887301199168
unshare → prlimit64,786,0,5.33208918914851
write → rmdir,792,0,5.33747443469895
socket → access,794,0,5.339260444622634
sendmmsg → exit_group,796,0,5.341041956672661
getsockopt → ioctl,101,1,5.345751264671573
getsockname → sendmsg,809,0,5.352513693839314
setpgid → mkdir,809,0,5.352513693839314
openat → sendto,815,0,5.357746241682684
mount → clock_nanosleep,820,0,5.362077325195736
umount2 → socket,821,0,5.362940368881792
pivot_root → clock_nanosleep,826,0,5.367239863525881
setpgid → umount2,827,0,5.368096635484488
write → symlink,103,1,5.370230656008507
setpgid → setsid,832,0,5.372364998665565
chdir → getdents64,832,0,5.372364998665565
mkdir → prctl,833,0,5.373215589382909
clone → setsockopt,835,0,5.374913708627339
clone → writev,56,3,5.380614742646049
mkdir → setpgid,853,0,5.390016086220135
sendto → exit_group,864,0,5.399089060571773
prctl → getdents64,868,0,5.402359683399711
setpgid → perf_event_open,871,0,5.404802764922499
write → sendmsg,874,0,5.4072374378834445
bpf → exit_group,877,0,5.4096637599596535
io_uring_setup → wait4,877,0,5.4096637599596535
prctl → sendmsg,878,0,5.410470688116444
bind → sendmmsg,108,1,5.429385966588667
close → perf_event_open,919,0,5.4427863660932845
exit_group → mkdir,922,0,5.445093962390008
rmdir → setpgid,933,0,5.45349132221801
newfstatat → bpf,934,0,5.454249798494026
pivot_root → wait4,937,0,5.456520359906857
perf_event_open → openat,945,0,5.462539799223058
sendmsg → clone,953,0,5.4685084479291755
openat → sendmsg,963,0,5.475899127242695
clone → connect,969,0,5.4802967519078765
setpgid → getdents64,976,0,5.485392997128705
mkdir → write,978,0,5.486842348854309
clock_nanosleep → writev,980,0,5.488288737046673
setsid → prlimit64,984,0,5.491172671132494
setpgid → sendmsg,988,0,5.494044895252693
mq_open → mq_timedsend,114,1,5.496821147815087
exit_group → rmdir,998,0,5.501174843135168
rmdir → prctl,1013,0,5.511736800276804
clone → rmdir,1020,0,5.516612258169895
chdir → chdir,1021,0,5.517306017095495
rmdir → write,1060,0,5.5438452151095765
setns → setns,57,4,5.5771477774252896
accept → clock_nanosleep,57,4,5.5771477774252896
mount → chdir,75,2,5.584842875763368
sendmmsg → wait4,1129,0,5.588490286358349
socket → setpgid,1193,0,5.6275234460392785
pwritev → wait4,128,1,5.641160201771557
prctl → setsockopt,1219,0,5.642785259354408
mkdir → rmdir,1233,0,5.650868774515223
chdir → setpgid,1264,0,5.66844589410818
getdents64 → bpf,1266,0,5.669565042522521
umount2 → bpf,1266,0,5.669565042522521
rt_sigaction → clone,73,22,5.669963311682854
setpgid → setsockopt,1303,0,5.689956163768073
openat → bpf,1306,0,5.691584020192892
symlink → clock_nanosleep,1309,0,5.693208138988835
openat → writev,1315,0,5.696445232072294
rmdir → chdir,1315,0,5.696445232072294
clone → mkdir,1329,0,5.70394133247993
writev → wait4,1347,0,5.713463901886799
umount2 → clone,1365,0,5.7228599773835676
newfstatat → setpgid,1373,0,5.726996280133855
prctl → connect,1387,0,5.734177114858836
clock_nanosleep → pivot_root,1393,0,5.737232439245151
wait4 → pivot_root,1403,0,5.74229550145918
newfstatat → prctl,1411,0,5.746320019158571
umount2 → symlink,1432,0,5.75677670997203
symlink → wait4,1437,0,5.759243779050904
chdir → write,1465,0,5.7729025748053395
newfstatat → symlink,1500,0,5.789613329912513
memfd_create → wait4,145,1,5.796360562497513
