Variant,AUC,AP,F1,Precision,Recall,FPR(N)
"Paper (window, dynamic-thr)",0.94,0.87,0.92,,,
"Repro window, dynamic-thr",0.9002837272715816,0.9813452358938333,0.5936044304889411,0.918167747444827,0.4385731220762004,0.23676794193722736
"Repro window, static p99.5",0.9002837272715816,0.9813452358938333,0.5405297453451055,0.9962676984711261,0.37087481357790214,0.008416013589159556
"Repro window, Youden-J (val)",0.9002837272715816,0.9813452358938333,0.8843224680827495,0.9678563309843147,0.8140622809142012,0.1637648148863066
"Repro sequence, dynamic-thr",0.9944317764023903,0.9956303903707864,0.8421052631578947,0.7292716445258818,0.9962453066332916,0.8995433789954338
